user_id,name,posts,followers,following,PVT,date_joined,former_usernames,verified
shivanibakshi91,Shivani Umesh Bakshi❤️,34,189,101,False,June 2023,2,0
shivani_virk__,SHIVI 🦋,5,266,12,False,April 2023,2,0
its_isha_568,Isha Wadhwan❤️,45,"1,228",294,False,May 2019,2,0
_ishasinghal_13,Isha Singhal ❤️,5,79,80,True,September 2024,,0
ishahhhhzzz,Isha,0,83,20,True,September 2024,5,0
isha__malviya,Isha Malviya,692,2.9M,111,False,June 2017,,1
_ishankbhatia_,Ishank Bhatia,17,524,519,True,September 2017,,0
smtown,SM Entertainment Group,"6,736",14M,163,False,July 2017,,1
smtsudhamurty,Smt. Sudha Murty,268,741K,4,False,January 2023,,1
smithandthell,Smith & Thell,"2,024",152K,2,False,April 2012,,1
c.syresmith,Jaden Smith,"1,720",19.5M,326,False,October 2011,,1
iamsmitraj,Smit Raj,52,994,733,False,March 2020,,0
divyaverma1230,neha verma,181,258,937,True,July 2017,,0
divyaraj_khokhar,,27,493,436,False,August 2021,4,0
anshul.thakur__,Divyansh Pundir,22,761,477,True,October 2017,4,0
divya_gautam___,Divya,53,297,336,False,October 2020,,0
__divya__shrivastava__,D,26,624,729,True,February 2017,2,0
manu26079,Mansi...😊😎,135,772,437,True,January 2019,2,0
mansi_dahiya4,Mansi Dahiya,41,130,149,True,November 2019,,0
mansi.009__,Mansi Bhanwal,3,397,407,True,April 2017,2,0
_mansi_2372,𝙈𝙖𝙣𝙨𝙞🥂,424,"2,551",162,False,August 2021,2,0
mansi_jangra03,MANSI✨️,93,"1,097",653,False,November 2020,1,0
mazidapehalwan,Mazida Pehalwan,727,"3,261",209,False,January 2018,,0
itz__mazida__07,mazida,0,776,20,True,June 2024,5,0
mazida__013,🎶🎼🌻𝚖áᴢⲓ𝓭á🌻🎼🎶,45,"1,043",4,False,December 2023,3,0
mazida649,Mazida Begum,87,962,2,False,August 2024,,0
,,17,68,3,False,April 2024,,0
poojabanerjeee,Pooja Banerjii,"2,781",1.1M,501,False,November 2013,,1
pooja_paswan_489,🥴,58,188,49,False,December 2021,12,0
drx_pooja_tahalani,ATTIRE BY NOOR MOTIYANI,369,"6,574",734,False,December 2017,2,0
itzzz____qveen____,🌺(⁠✿pooja✿)🌺,376,531,12,False,March 2023,3,0
poojaverma8681,Pooja Verma,200,247,167,True,January 2019,,0
kaja.l1239367,kajal,405,402,308,False,December 2023,,0
kajal.rana_21,k a j a l,6,876,60,False,May 2019,,0
kajalgupta6782,Kajal ___g 🌺,37,137,152,True,June 2020,,0
__kajal__1407,-BELLe AMe-🩷,14,666,108,False,November 2020,,0
verma_kajju,Kajal verma,75,364,210,True,November 2019,,0
meenagurnamofficial,Meenagurnamofficial,779,"6,381",111,False,November 2020,1,0
meena.serawat,Meena,14,262,231,True,December 2021,1,0
kundlas_meena_ladli_jogi_g_ki,Kundlas/Meena.. 🙏🏻🙏🏻ladli jogi g di 🙏🏻🙏🏻,291,294,281,True,July 2021,2,0
meenakshichaudhary006,Meenaakshi Chaudhary,508,2.5M,596,False,February 2016,1,1
official_meena_7534,meena_💙,43,551,34,False,May 2022,7,0
sonam.kashyap.14,Sonam Kashyap,0,9,12,True,January 2022,,0
sonamkapoor,Sonam A Kapoor,"5,148",34.8M,"4,152",False,May 2012,,1
sonambajwa,Sonam Bajwa,"3,332",14M,"1,677",False,December 2013,,1
sonamkhir,sonamkhir,"1,216",13.1K,100,False,June 2022,,0
sonam.negi.5245,Sonam Negi,0,81,19,False,May 2018,,0
buity_official,buity... khan,15,330,58,False,March 2021,1,0
buity_girl_queen_05,,0,108,14,True,November 2023,2,0
cute.buity_khan,Beauty khan,24,765,41,False,January 2021,,0
buity_____queen,shikha kashyap,10,551,325,False,July 2024,2,0
buity8707,Buity Khatun,20,72,33,False,February 2024,,0
realhinakhan,𝑯𝒊𝒏𝒂 𝑲𝒉𝒂𝒏,"2,179",20.2M,362,False,December 2016,,1
hinaaa__o7,hinabhatt 💫,5,240,27,False,January 2025,,0
anisha__magr,Hina 🦋,4,"1,812",528,False,January 2021,5,0
just__hinaaa,🥀,0,390,169,False,August 2023,9,0
miss.batra,Hina Batra,24,753,539,False,June 2017,,0
